,addressID,cityName,entryAddressID,gstkvhx,houseNumber,latestValuation,placeName,propertyNumber,roadName,zipCode,_links.self.href,city.name,coordinates.lat,coordinates.lon,coordinates.type,energyLabelImprovement.sparEnergiLink,municipality.municipalityCode,municipality.name,province.name,province.provinceCode,province.regionCode,road.municipalityCode,road.name,road.roadCode,road.roadID,zip.name,zip.slug,zip.zipCode,addressType,livingArea,weightedArea,door,floor,buildings.bathroomCondition,buildings.buildingName,buildings.buildingNumber,buildings.externalWallMaterial,buildings.heatingInstallation,buildings.housingArea,buildings.kitchenCondition,buildings.numberOfBathrooms,buildings.numberOfFloors,buildings.numberOfKitchens,buildings.numberOfToilets,buildings.roofingMaterial,buildings.supplementaryHeating,buildings.toiletCondition,buildings.totalArea,buildings.yearBuilt,buildings.basementArea,buildings.businessArea,buildings.yearRenovated,buildings.supplementaryRoofingMaterial,buildings.supplementaryExternalWallMaterial,buildings.otherArea,buildings.asbestosContainingMaterial,registrations.amount,registrations.area,registrations.date,registrations.municipalityCode,registrations.perAreaPrice,registrations.propertyNumber,registrations.registrationID,registrations.type
2937,0a3f50bc-80dd-32b8-e044-0003ba298018,Vejle,0a3f5090-9172-32b8-e044-0003ba298018,07660951__45_______,45,1450000.0,Lindved,20931,Mølleager,7100,/addresses/0a3f50bc-80dd-32b8-e044-0003ba298018,Vejle,55.79098,9.580859,EPSG4326,https://sparenergi.dk/forbruger/boligen/traenger-din-bolig-til-renovering?utm_source=Boligsiden&utm_medium=Banner&utm_campaign=6,766,Hedensted,Østjylland,DK042,1082,766,Mølleager,951,19596890-ab01-466f-80ff-7df603f0c62d,Vejle,vejle,7100,villa,171.0,178.5,,,Badeværelse i enheden,Fritliggende enfamilieshus (parcelhus),1,Mursten,Elvarme,171.0,Eget køkken med afløb,2.0,1.0,1.0,2.0,Betontagsten,(UDFASES) Bygningen har ingen supplerende varme,Vandskyllende toilet i enheden,171.0,1988.0,,,1992.0,,,,,1975000,171.0,2006-12-11,766,11549.0,20931,3766760,normal
2938,0a3f50bb-d0dd-32b8-e044-0003ba298018,Juelsminde,0a3f5090-054c-32b8-e044-0003ba298018,07661341__49_______,49,960000.0,Snaptun,11931,Snaptunvej,7130,/addresses/0a3f50bb-d0dd-32b8-e044-0003ba298018,Juelsminde,55.81866,10.033181,EPSG4326,https://sparenergi.dk/forbruger/boligen/traenger-din-bolig-til-renovering?utm_source=Boligsiden&utm_medium=Banner&utm_campaign=6,766,Hedensted,Østjylland,DK042,1082,766,Snaptunvej,1341,9af12ddb-cb01-4980-9e73-fb18d2a6ae94,Juelsminde,juelsminde,7130,villa,210.0,214.3,,,Badeværelse i enheden,Fritliggende enfamilieshus (parcelhus),1,Mursten,Varmepumpe,210.0,Eget køkken med afløb,1.0,1.0,1.0,1.0,Fibercement herunder asbest,,Vandskyllende toilet i enheden,140.0,1962.0,12.0,,1973.0,,,,,950000,210.0,2012-09-26,766,4523.0,11931,4440687,normal
2939,0a3f50bb-d0dd-32b8-e044-0003ba298018,Juelsminde,0a3f5090-054c-32b8-e044-0003ba298018,07661341__49_______,49,960000.0,Snaptun,11931,Snaptunvej,7130,/addresses/0a3f50bb-d0dd-32b8-e044-0003ba298018,Juelsminde,55.81866,10.033181,EPSG4326,https://sparenergi.dk/forbruger/boligen/traenger-din-bolig-til-renovering?utm_source=Boligsiden&utm_medium=Banner&utm_campaign=6,766,Hedensted,Østjylland,DK042,1082,766,Snaptunvej,1341,9af12ddb-cb01-4980-9e73-fb18d2a6ae94,Juelsminde,juelsminde,7130,villa,210.0,214.3,,,Badeværelse i enheden,Fritliggende enfamilieshus (parcelhus),1,Mursten,Varmepumpe,210.0,Eget køkken med afløb,1.0,1.0,1.0,1.0,Fibercement herunder asbest,,Vandskyllende toilet i enheden,140.0,1962.0,12.0,,1973.0,,,,,1000000,210.0,2007-10-19,766,4761.0,11931,3895920,normal
2940,249e731f-34e6-4208-b8b9-3e22bfc203b6,Hedensted,a3fa69c7-978f-4cb3-893b-f611155a2129,07661082__29_______,29,,,2385,Overholmvej,8722,/addresses/249e731f-34e6-4208-b8b9-3e22bfc203b6,Hedensted,55.763073,9.6980715,EPSG4326,https://sparenergi.dk/forbruger/boligen/traenger-din-bolig-til-renovering?utm_source=Boligsiden&utm_medium=Banner&utm_campaign=6,766,Hedensted,Østjylland,DK042,1082,766,Overholmvej,1082,c32b6ddd-4605-4be3-a69a-f9ad2effb5f9,Hedensted,hedensted,8722,"(UDFASES) Række-, kæde- eller dobbelthus (lodret adskillelse mellem enhederne).",110.0,,,,Badeværelse i enheden,"(UDFASES) Række-, kæde- eller dobbelthus (lodret adskillelse mellem enhederne).",6,Mursten,Varmepumpe,110.0,Eget køkken med afløb,1.0,1.0,2.0,1.0,Tagpap med lille hældning,(UDFASES) Bygningen har ingen supplerende varme,Vandskyllende toilet i enheden,220.0,2015.0,,,,,,,,6200000,110.0,2010-12-20,766,56363.0,2385,4253938,normal
2941,249e731f-34e6-4208-b8b9-3e22bfc203b6,Hedensted,a3fa69c7-978f-4cb3-893b-f611155a2129,07661082__29_______,29,,,2385,Overholmvej,8722,/addresses/249e731f-34e6-4208-b8b9-3e22bfc203b6,Hedensted,55.763073,9.6980715,EPSG4326,https://sparenergi.dk/forbruger/boligen/traenger-din-bolig-til-renovering?utm_source=Boligsiden&utm_medium=Banner&utm_campaign=6,766,Hedensted,Østjylland,DK042,1082,766,Overholmvej,1082,c32b6ddd-4605-4be3-a69a-f9ad2effb5f9,Hedensted,hedensted,8722,"(UDFASES) Række-, kæde- eller dobbelthus (lodret adskillelse mellem enhederne).",110.0,,,,Badeværelse i enheden,"(UDFASES) Række-, kæde- eller dobbelthus (lodret adskillelse mellem enhederne).",6,Mursten,Varmepumpe,110.0,Eget køkken med afløb,1.0,1.0,2.0,1.0,Tagpap med lille hældning,(UDFASES) Bygningen har ingen supplerende varme,Vandskyllende toilet i enheden,220.0,2015.0,,,,,,,,5100000,110.0,2006-12-28,766,46363.0,2385,3766615,normal
2942,249e731f-34e6-4208-b8b9-3e22bfc203b6,Hedensted,a3fa69c7-978f-4cb3-893b-f611155a2129,07661082__29_______,29,,,2385,Overholmvej,8722,/addresses/249e731f-34e6-4208-b8b9-3e22bfc203b6,Hedensted,55.763073,9.6980715,EPSG4326,https://sparenergi.dk/forbruger/boligen/traenger-din-bolig-til-renovering?utm_source=Boligsiden&utm_medium=Banner&utm_campaign=6,766,Hedensted,Østjylland,DK042,1082,766,Overholmvej,1082,c32b6ddd-4605-4be3-a69a-f9ad2effb5f9,Hedensted,hedensted,8722,"(UDFASES) Række-, kæde- eller dobbelthus (lodret adskillelse mellem enhederne).",110.0,,,,Badeværelse i enheden,"(UDFASES) Række-, kæde- eller dobbelthus (lodret adskillelse mellem enhederne).",6,Mursten,Varmepumpe,110.0,Eget køkken med afløb,1.0,1.0,2.0,1.0,Tagpap med lille hældning,(UDFASES) Bygningen har ingen supplerende varme,Vandskyllende toilet i enheden,220.0,2015.0,,,,,,,,519146,110.0,1995-04-06,766,4719.0,2385,3092199,normal
2943,3e7c85ea-dcb0-3e52-e044-0003ba298018,Hedensted,1b231335-7b2f-461c-e044-0003ba298018,07660264__32_______,32,2900000.0,,16710,Egernvej,8722,/addresses/3e7c85ea-dcb0-3e52-e044-0003ba298018,Hedensted,55.759335,9.71329,EPSG4326,https://sparenergi.dk/forbruger/boligen/traenger-din-bolig-til-renovering?utm_source=Boligsiden&utm_medium=Banner&utm_campaign=6,766,Hedensted,Østjylland,DK042,1082,766,Egernvej,264,9395e7f2-641e-47d9-ad78-0319e6c212b1,Hedensted,hedensted,8722,villa,219.0,253.8,,,Badeværelse i enheden,Fritliggende enfamilieshus (parcelhus),1,Mursten,Varmepumpe,219.0,Eget køkken med afløb,2.0,1.0,1.0,2.0,Tegl,Ovne til fast eller flydende brændsel,Vandskyllende toilet i enheden,306.0,2011.0,,,,,,,,606000,219.0,2010-11-01,766,2767.0,16710,4199820,normal
2944,3e7c85ea-dcb0-3e52-e044-0003ba298018,Hedensted,1b231335-7b2f-461c-e044-0003ba298018,07660264__32_______,32,2900000.0,,16710,Egernvej,8722,/addresses/3e7c85ea-dcb0-3e52-e044-0003ba298018,Hedensted,55.759335,9.71329,EPSG4326,https://sparenergi.dk/forbruger/boligen/traenger-din-bolig-til-renovering?utm_source=Boligsiden&utm_medium=Banner&utm_campaign=6,766,Hedensted,Østjylland,DK042,1082,766,Egernvej,264,9395e7f2-641e-47d9-ad78-0319e6c212b1,Hedensted,hedensted,8722,villa,219.0,253.8,,,Badeværelse i enheden,Fritliggende enfamilieshus (parcelhus),1,Mursten,Varmepumpe,219.0,Eget køkken med afløb,2.0,1.0,1.0,2.0,Tegl,Ovne til fast eller flydende brændsel,Vandskyllende toilet i enheden,306.0,2011.0,,,,,,,,606000,219.0,2010-11-01,766,2767.0,16710,4206376,normal
2945,3e7c85ea-dcb0-3e52-e044-0003ba298018,Hedensted,1b231335-7b2f-461c-e044-0003ba298018,07660264__32_______,32,2900000.0,,16710,Egernvej,8722,/addresses/3e7c85ea-dcb0-3e52-e044-0003ba298018,Hedensted,55.759335,9.71329,EPSG4326,https://sparenergi.dk/forbruger/boligen/traenger-din-bolig-til-renovering?utm_source=Boligsiden&utm_medium=Banner&utm_campaign=6,766,Hedensted,Østjylland,DK042,1082,766,Egernvej,264,9395e7f2-641e-47d9-ad78-0319e6c212b1,Hedensted,hedensted,8722,villa,219.0,253.8,,,Badeværelse i enheden,Fritliggende enfamilieshus (parcelhus),1,Mursten,Varmepumpe,219.0,Eget køkken med afløb,2.0,1.0,1.0,2.0,Tegl,Ovne til fast eller flydende brændsel,Vandskyllende toilet i enheden,306.0,2011.0,,,,,,,,606000,219.0,2010-03-18,766,2767.0,16710,4129923,normal
2946,3e7c85ea-dcb0-3e52-e044-0003ba298018,Hedensted,1b231335-7b2f-461c-e044-0003ba298018,07660264__32_______,32,2900000.0,,16710,Egernvej,8722,/addresses/3e7c85ea-dcb0-3e52-e044-0003ba298018,Hedensted,55.759335,9.71329,EPSG4326,https://sparenergi.dk/forbruger/boligen/traenger-din-bolig-til-renovering?utm_source=Boligsiden&utm_medium=Banner&utm_campaign=6,766,Hedensted,Østjylland,DK042,1082,766,Egernvej,264,9395e7f2-641e-47d9-ad78-0319e6c212b1,Hedensted,hedensted,8722,villa,219.0,253.8,,,Badeværelse i enheden,Fritliggende enfamilieshus (parcelhus),1,Mursten,Varmepumpe,219.0,Eget køkken med afløb,2.0,1.0,1.0,2.0,Tegl,Ovne til fast eller flydende brændsel,Vandskyllende toilet i enheden,306.0,2011.0,,,,,,,,606000,219.0,2006-12-14,766,2767.0,16710,3766706,normal
