,Municipality,Property_type,Year,Price_min,Price_max,Size_min,Size_max,totalhits,number_of_pages
93,Vejle,condo,nothing,nothing,nothing,nothing,nothing,2702,136
94,Vejle,terraced house,nothing,nothing,nothing,nothing,nothing,1260,63
95,Esbjerg,villa,2023,nothing,nothing,nothing,nothing,778,39
96,Esbjerg,villa,2022,nothing,nothing,nothing,nothing,1201,61
97,Esbjerg,villa,2021,nothing,nothing,nothing,nothing,1694,85
98,Esbjerg,villa,2020,nothing,nothing,nothing,nothing,1562,79
99,Esbjerg,villa,2019,nothing,nothing,nothing,nothing,1476,74
100,Esbjerg,villa,2018,nothing,nothing,nothing,nothing,1447,73
101,Esbjerg,villa,2017,nothing,nothing,nothing,nothing,1407,71
102,Esbjerg,villa,2016,nothing,nothing,nothing,nothing,1255,63
103,Esbjerg,villa,2015,nothing,nothing,nothing,nothing,1234,62
104,Esbjerg,villa,2014,nothing,nothing,nothing,nothing,1068,54
105,Esbjerg,villa,2013,nothing,nothing,nothing,nothing,973,49
106,Esbjerg,condo,nothing,nothing,nothing,nothing,nothing,3546,178
107,Esbjerg,terraced house,nothing,nothing,nothing,nothing,nothing,1140,57
108,Frederiksberg,villa,nothing,nothing,nothing,nothing,nothing,772,39
109,Frederiksberg,condo,2023,nothing,nothing,nothing,nothing,879,44
110,Frederiksberg,condo,2022,nothing,nothing,nothing,nothing,1111,56
111,Frederiksberg,condo,2021,nothing,nothing,nothing,nothing,1638,82
112,Frederiksberg,condo,2020,nothing,nothing,nothing,nothing,1760,88
113,Frederiksberg,condo,2019,nothing,nothing,nothing,nothing,1569,79
114,Frederiksberg,condo,2018,nothing,nothing,nothing,nothing,1653,83
115,Frederiksberg,condo,2017,nothing,nothing,nothing,nothing,1713,86
116,Frederiksberg,condo,2016,nothing,nothing,nothing,nothing,1659,83
117,Frederiksberg,condo,2015,nothing,nothing,nothing,nothing,1723,87
118,Frederiksberg,condo,2014,nothing,nothing,nothing,nothing,1591,80
119,Frederiksberg,condo,2013,nothing,nothing,nothing,nothing,1445,73
120,Frederiksberg,terraced house,nothing,nothing,nothing,nothing,nothing,367,19
121,Randers,villa,2023,nothing,nothing,nothing,nothing,704,36
122,Randers,villa,2022,nothing,nothing,nothing,nothing,1140,57
123,Randers,villa,2021,nothing,nothing,nothing,nothing,1574,79
124,Randers,villa,2020,nothing,nothing,nothing,nothing,1407,71
125,Randers,villa,2019,nothing,nothing,nothing,nothing,1197,60
126,Randers,villa,2018,nothing,nothing,nothing,nothing,1165,59
127,Randers,villa,2017,nothing,nothing,nothing,nothing,1141,58
128,Randers,villa,2016,nothing,nothing,nothing,nothing,1047,53
129,Randers,villa,2015,nothing,nothing,nothing,nothing,972,49
130,Randers,villa,2014,nothing,nothing,nothing,nothing,858,43
131,Randers,villa,2013,nothing,nothing,nothing,nothing,781,40
132,Randers,condo,nothing,nothing,nothing,nothing,nothing,5283,265
133,Randers,terraced house,nothing,nothing,nothing,nothing,nothing,1314,66
134,Silkeborg,villa,2023,nothing,nothing,nothing,nothing,742,38
135,Silkeborg,villa,2022,nothing,nothing,nothing,nothing,1156,58
